,growth_rate,birth_time,gen_time,v0,vf,lineage
194,0.011452462773111264,3661.0,54.0,2.49148,4.46032,2.0
195,0.01071639662271318,3716.0,74.0,2.16652,4.59463,2.0
196,0.01095229054552401,3791.0,95.0,2.64496,7.23596,2.0
197,0.012521726390597107,3887.0,83.0,2.72167,7.49007,2.0
198,0.011308537555572307,3971.0,42.0,2.59604,4.04443,2.0
199,0.01139381513740418,4014.0,70.0,1.82525,3.77627,2.0
200,0.011752956800897784,4085.0,77.0,1.79755,4.1106,2.0
201,0.014601340987479923,4163.0,59.0,1.71697,3.89414,2.0
202,0.01399608508117612,4223.0,59.0,1.80399,3.88619,2.0
203,0.012742353541020365,4283.0,61.0,1.81973,3.75574,2.0
204,0.013069108894207366,4345.0,84.0,1.5283,4.29822,2.0
205,0.012381986714374262,4430.0,52.0,2.18927,4.07196,2.0
206,0.013359444613354041,4483.0,96.0,1.84885,6.36068,2.0
207,0.012095569552847366,4580.0,32.0,3.08638,4.47346,2.0
208,0.012972243439798602,4613.0,51.0,1.90094,3.53338,2.0
209,0.011038217874501353,4665.0,67.0,1.62669,3.20734,2.0
210,0.012684980339169245,1.0,77.0,1.85497,4.59538,3.0
211,0.013617247285530152,79.0,61.0,1.94146,4.31013,3.0
212,0.010623126521579762,141.0,80.0,1.95971,4.31489,3.0
213,0.012113538913592934,222.0,73.0,1.92904,4.4996,3.0
214,0.011246438597181385,296.0,64.0,2.28538,4.46509,3.0
215,0.012091563971626702,361.0,94.0,2.0013,5.80622,3.0
216,0.0133114697674727,456.0,40.0,2.81808,4.69968,3.0
217,0.01160225776150929,497.0,51.0,2.21031,3.90515,3.0
218,0.012580277743110466,549.0,65.0,2.05861,4.34492,3.0
219,0.015998015076394482,615.0,48.0,2.00656,4.10896,3.0
220,0.01258790830387198,664.0,63.0,1.9851,4.04823,3.0
221,0.013803339815240429,728.0,48.0,1.92507,3.59272,3.0
222,0.012573731962832528,777.0,85.0,1.50335,4.05678,3.0
223,0.013377825064542511,863.0,59.0,1.80337,3.80388,3.0
224,0.013478661867935504,923.0,72.0,1.63493,4.09403,3.0
225,0.012887370491541249,996.0,53.0,1.948,3.75185,3.0
226,0.01170524214762527,1050.0,64.0,1.85589,3.75278,3.0
227,0.010951610776861182,1115.0,79.0,1.71208,3.83826,3.0
228,0.012387191144541483,1195.0,79.0,1.84329,4.7474,3.0
229,0.014077614132770854,1275.0,52.0,2.07502,4.11031,3.0
230,0.01248062368520784,1328.0,69.0,1.72464,3.95802,3.0
231,0.012921215872745147,1398.0,73.0,1.83566,4.56606,3.0
232,0.012844892800823838,1472.0,58.0,2.11826,4.29343,3.0
233,0.013362822918433536,1531.0,59.0,1.86851,3.9537,3.0
234,0.011743256482326271,1591.0,76.0,1.84727,4.28029,3.0
235,0.012619166405430458,1668.0,63.0,2.21718,4.75641,3.0
236,0.011178107107789277,1732.0,72.0,2.29165,4.98206,3.0
237,0.012077361882979724,1805.0,51.0,2.40849,4.32791,3.0
238,0.012789682007042686,1857.0,73.0,2.07381,5.08319,3.0
239,0.013277845074025319,1931.0,78.0,2.24788,6.08421,3.0
240,0.012769903315097888,2010.0,46.0,3.64374,6.48031,3.0
241,0.012655382078149247,2057.0,42.0,2.64371,4.43199,3.0
242,0.01203176699203124,2100.0,67.0,2.02217,4.34397,3.0
243,0.01275600393705462,2168.0,63.0,1.90209,4.11953,3.0
244,0.010682870652280112,2232.0,59.0,2.29537,4.17562,3.0
245,0.01388020115463144,2292.0,61.0,1.86241,4.18784,3.0
246,0.013541396932897215,2354.0,56.0,1.91516,3.82164,3.0
247,0.011082792197539597,2411.0,61.0,1.83214,3.46816,3.0
248,0.010885559429771848,2473.0,70.0,1.73916,3.56154,3.0
249,0.013652632831319242,2544.0,60.0,1.70629,3.63804,3.0
250,0.013683179717832734,2605.0,107.0,1.577,6.28331,3.0
251,0.012149702980440772,2713.0,36.0,3.27647,5.00146,3.0
252,0.01238416998427617,2750.0,81.0,2.24809,5.91619,3.0
253,0.012088519281868403,2832.0,88.0,2.42649,6.77802,3.0
254,0.012030887785019151,2921.0,45.0,3.14194,5.32024,3.0
255,0.013118591008955004,2967.0,44.0,2.55605,4.49159,3.0
256,0.010866599079127091,3012.0,93.0,2.17006,5.71294,3.0
257,0.012137671496839416,3106.0,60.0,2.3383,4.69308,3.0
258,0.010740424919032198,3167.0,88.0,1.78624,4.28804,3.0
259,0.011230704782014921,3256.0,85.0,1.89081,4.6503,3.0
260,0.012378822930270823,3342.0,59.0,2.19049,4.367,3.0
261,0.012260794570191772,3402.0,114.0,2.19203,8.48115,3.0
262,0.012554950015571026,3517.0,37.0,4.5371,7.13389,3.0
263,0.011780866313146416,3555.0,32.0,3.19948,4.60667,3.0
264,0.011196111883257014,3588.0,49.0,2.17112,3.66324,3.0
265,0.012041064281862303,3638.0,69.0,1.70629,3.69577,3.0
266,0.013280036163333904,3708.0,60.0,1.87564,4.02928,3.0
267,0.012563070360910214,3769.0,54.0,1.82826,3.52148,3.0
268,0.016285756541601273,3824.0,55.0,1.53372,3.58317,3.0
269,0.01396760253129579,3880.0,72.0,1.41629,3.56027,3.0
270,0.012904491286038699,3953.0,79.0,1.54207,4.05859,3.0
271,0.01184840828942738,4033.0,98.0,1.8528,5.66868,3.0
272,0.012632543913608836,4132.0,34.0,3.11238,4.73261,3.0
273,0.012265097599764352,4167.0,53.0,2.06705,3.87722,3.0
274,0.010939734880716883,4221.0,86.0,1.64899,3.96976,3.0
275,0.012550041175595697,4308.0,62.0,1.8638,3.904,3.0
276,0.01331242373996177,4371.0,59.0,1.81331,3.7905,3.0
277,0.012160367642652287,4431.0,62.0,1.67934,3.46178,3.0
278,0.013296552913748316,4494.0,66.0,1.56785,3.64502,3.0
279,0.011576299559592669,4561.0,81.0,1.61316,3.86354,3.0
